id,title,author,alt_titles,isbn13,publisher,year,edition
1,Pride and Prejudice,Jane Austen,Pride & Prejudice,,T. Egerton,1813,1st ed.
2,Pride and Prejudice,Jane Austen,Pride & Prejudice,9780141439518,Penguin Books,2003,Penguin Classics
3,Dracula,Bram Stoker,,,Archibald Constable and Company,1897,1st ed.
4,Dracula,Bram Stoker,,9780451529771,Signet,1992,Signet Classics
5,Frankenstein,Mary Shelley,"Frankenstein; or, The Modern Prometheus",,"Lackington, Hughes, Harding, Mavor & Jones",1818,1st ed. (anonymous)
6,Frankenstein,Mary Shelley,"Frankenstein; or, The Modern Prometheus",9780141439471,Penguin Books,2003,Penguin Classics
7,Moby-Dick,Herman Melville,"Moby Dick; or, The Whale",,Harper & Brothers,1851,1st US ed.
8,Moby Dick,Herman Melville,"Moby-Dick; or, The Whale",9780142437247,Penguin Books,2003,Penguin Classics Deluxe
9,The Great Gatsby,F. Scott Fitzgerald,,,Charles Scribner's Sons,1925,1st ed.
10,The Great Gatsby,F. Scott Fitzgerald,,9780743273565,Scribner,2004,75th Anniversary ed.
11,War and Peace,Leo Tolstoy,,,The Russian Messenger,1869,Serialized ed.
12,War and Peace,Lev Tolstoy,,9781400079988,Vintage,2008,Vintage Classics
13,Jane Eyre,Charlotte Brontë,Jane Eyre: An Autobiography,,"Smith, Elder & Co.",1847,1st ed. (as Currer Bell)
14,Jane Eyre,Charlotte Bronte,,9780141441146,Penguin Books,2006,Penguin Classics
15,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,,George Newnes Ltd,1892,1st ed.
16,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,9780486474915,Dover Publications,2009,Dover Thrift Edition
17,Meditations,Marcus Aurelius,Ta eis heauton; The Emperor's Wisdom,9780812968255,Modern Library,2003,Trans. Gregory Hays
18,The Meditations,Marcus Aurelius,Meditations,9780140449140,Penguin Books,1964,"Trans. Maxwell Staniforth, Penguin Classics"
19,Harry Potter and the Philosopher's Stone,J.K. Rowling,Harry Potter and the Sorcerer's Stone,9780747532699,Bloomsbury,1997,UK 1st ed.
20,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Harry Potter and the Philosopher's Stone,9780590353427,Scholastic,1998,US 1st ed.
21,And Then There Were None,Agatha Christie,Ten Little Indians,9780062073488,HarperCollins,1939,Current ed.
22,Ten Little Indians,Agatha Christie,And Then There Were None,,"Dodd, Mead and Company",1940,US ed.
23,Northern Lights,Philip Pullman,The Golden Compass,9780590660549,Scholastic UK,1995,UK 1st ed.
24,The Golden Compass,Philip Pullman,Northern Lights,9780679879244,Alfred A. Knopf,1996,US 1st ed.
25,The Girl with the Dragon Tattoo,Stieg Larsson,Män som hatar kvinnor,9781847245458,Quercus,2008,English translation
26,Män som hatar kvinnor,Stieg Larsson,The Girl with the Dragon Tattoo,,Norstedts Förlag,2005,Swedish original
27,The Hobbit,J.R.R. Tolkien,"The Hobbit, or There and Back Again",9780007458424,HarperCollins,1937,Current ed.
28,"The Hobbit, or There and Back Again",J.R.R. Tolkien,The Hobbit,,George Allen & Unwin,1937,1st ed.
29,Cien años de soledad,Gabriel García Márquez,One Hundred Years of Solitude,,Editorial Sudamericana,1967,Spanish original
30,One Hundred Years of Solitude,Gabriel Garcia Marquez,Cien años de soledad,9780060883287,Harper & Row,1970,English translation
31,Le Petit Prince,Antoine de Saint-Exupéry,The Little Prince,,Reynal & Hitchcock,1943,French original
32,The Little Prince,Antoine de Saint-Exupery,Le Petit Prince,9780156012195,Harcourt Brace,1943,English translation
33,Crime and Punishment,Fyodor Dostoevsky,Преступление и наказание,9780679734505,Vintage Classics,1866,English translation
34,Преступление и наказание,Fyodor Dostoyevsky,Crime and Punishment,,The Russian Messenger,1866,Russian original (serialized)
35,The Alchemist,Paulo Coelho,O Alquimista,9780062315007,HarperOne,1988,English translation
36,O Alquimista,Paulo Coelho,The Alchemist,,Rocco,1988,Portuguese original
37,Foundation,Isaac Asimov,,9780553293357,Gnome Press,1951,1st ed.
38,Foundation,Peter Ackroyd,"The History of England, Volume I",9780312611328,St. Martin's Press,2011,1st ed.
39,Emma,Jane Austen,,9780141439587,John Murray,1815,1st ed.
40,Emma,Alexander McCall Smith,,9780007553967,Borough Press,2014,The Austen Project ed.
41,The Stranger,Albert Camus,L'Étranger,9780679720201,Vintage International,1942,English translation
42,The Stranger,Harlan Coben,,9781101984366,Dutton,2015,1st ed.
43,The Road,Cormac McCarthy,,9780307265432,Alfred A. Knopf,2006,1st ed.
44,The Road,Vasily Grossman,,9780857050173,MacLehose Press,2010,English translation
45,Twilight,Stephenie Meyer,,9780316015844,"Little, Brown and Company",2005,1st ed.
46,Twilight,William Gay,,9781596921992,MacAdam/Cage,2006,1st ed.
